sku,quantity,name
"4062139012480","3","7up can"
"5391521842732","15","Cidona can"
"4062139012848","17","7up zero can"
"5000112666724","6","sprite can"
"5056079901750","31","Boost orange"
"5056079901774","28","Boost tropical berry 500"
"5391521836076","4","Cidona 500"
"4062139009992","15","Pepsi max 750ml"
"5000112666946","18","dr pepper 500ml"
"5000112665932","10","Fanta zero 500"
"5000112666786","5","Sprite 500"
"5011020104833","4","Vital guava lime 450"
"5011020104864","3","Vital pear redcurrent 450"
"4062139008773","13","7up 750ml"
"4062139010721","14","Lipton ice peach 500"
"5000112676891","6","Fanta apple zero 500"
"5000112666038","5","Fanta pineapple 500ml"
"5000112666922","12","Powerade blue 500ml"
"5000112662665","4","Fanta lemon 500ml"
"5391521835604","22","Club or 500"
"5391521835581","6","Club rock shandy 500"
"4062139008704","12","7up 500ml "
"5391537514210","3","mas+ limon lime "
"5391537514227","4","Mas+ miami punch"
"5391537514234","4","Mas+ Berry Copa "
"5099323010495","324","FV firelog"
"5000382121534","2","Irn Bru"
"4062139010745","12","Lipton ice Rasberry"
"5000112666861","10","Coke Cherry zero btl"
"5391545240026","2064","Ishka 500ml"
"5000112633719","36","Diet Coke btl"
"5000112627091","25","Coke btl"
"5000112630671","7","Coke zero btl"
"5000112630664","49","Coke zero can"
"5000112626940","12","Coke can"
"5391545240088","144","Big Ishka 740ml"
"5000112633702","12","Diet coke can"
"5391508850408","84","Blue Roll"
"5099810869452","3","Barrys Tea Gold"
"8714100264089","2","Quick Soup Oxtail"
"5000175409023","4","Cupa Soup Chicken"
"5000175409030","4","Cupa Soup Muhsroom"
"4008381107000","3","Zucker Sugar"
"8720608033850","4","Lyons 80"
"5099810926537","4","Barrys Tea original 50"
"5099810862217","1","Barrys Tea 80"
"8720602033788","4","Lyons Blend 40"
"5099810332161","4","Barrys Tea Decaf"
"5098732002428","15","Erin Farmhouse Veg"
"5397136019323","6","Batchelors Mushy Peas 3-pack small"
"5011001100342","5","Bathchelors Irish Peas Singles"
"5391509390422","9","Chef Malt Vinegar"
"5011086000520","3","Homestead Fruit Cocktail"
"5011086000513","4","Homestead Peach Slices"
"5011086807815","2","HomeStead Processed Peas"
"5034660021537","4","Cadbury Hot Chocolate "
"5011009112385","2","Erin White Sauce"
"5098732005160","4","McDonnells Slimmers Curry Sauce"
"5397136017701","3","FruitField Little Chip Orange Marm"
"5397136017725","2","FruitField Old Time Irish"
"8711000516706","5","Maxwell Mild Blend"
"5011546415468","2","Nescafe Original"
"5099078001106","7","SunnySouth Sliced Carrots"
"8445291692824","2","Nescafe Gold"
"5000208080809","4","Tetley Tea bags 160"
"5012035962142","6","Haribo Goldbears"
"5012035963484","8","Haribo TangFastics"
"5010511481491","32","Foxs Mints"
"5010511481187","20","Foxs Glacier fruits"
"8413178390330","14","Vidal Brains"
"5012035962173","9","Haribo Happy Cola"
"5012035952273","28","Maom Pinballs"
"5010029000801","4","Weetabix 48"
"5010024111076","12","Saxa Salt"
"5397136018098","2","Batchelors Peas Big"
"5010034013681","6","Bens Basmati Rice"
"5059319030517","7","Kell Corn Flakes"
"5059319021836","3","Kell Rice Krispies"
"5000204689297","7","Pledge"
"5011417565209","1","Dettol Spray big (400ml)"
"5011417589809","5","Dettol Spray"
"8700216185615","7","Febreeze Mist Blossom"
"8700216185585","2","Febreeze Mist cotton"
"8720847374769","8","AtHome Scent Sandalwood"
"5413149006690","8","Febreeze Fabric Classic"
"5011309086812","7","Zoflora Sweet Pea Disinfectant "
"5011309276176","11","Zoflora Linen Fr Scent"
"5011309302417","3","Zoflora Cypress Scent"
"8006540994337","5","Fairy Original Big"
"5053249252735","3","Elb Grease Orig"
"8700216004640","7","Fairy Max Power"
"8006540994269","5","Fairy Original"
"8006540994474","4","Fairy Lemon"
"5059001011237","6","Finish Deep cleaner Dishwasher Active"
"8006540910764","5","Fairy Original 14 W"
"5011417548509","10","Finish Dishwasher Deep Clean"
"8006540911129","6","Fairy Plat Plus 18"
"5011417544143","3","Calgon Power Tabs 15W"
"5059001011398","4","Finish Salt 2kg"
"8435495847250","4","Daz Cleaning Cherry 24 W"
"5099809126566","10","Gem Washing Soda"
"8720604310108","5","At Home Wash FS Pink"
"8700216776707","5","Bold 13 W"
"8700216464628","5","Ariel 13W"
"8720181004971","3","Surf Tropical"
"8720181004988","1","Surf Herbal"
"8720181006272","7","Persil Bio 24W"
"8720181092954","1","Comfort Pure 58 W"
"8720181332012","1","Comfort Pure 33W"
"8720181331916","7","Comfort 33W Blue "
"5056683909951","5","Astro Scent Wild Bl "
"5056683909913","4","Astro Scent F.Per"
"8710447372500","2","Comfort Heav. Nec 58W"
"8710447372524","4","Comfort ult Lavish Bl 58W"
"8720181092930","1","Comfort Ult fushia 58W"
